ticker,date,buy_volume,buy_value_bil_vnd,sell_volume,sell_value_bil_vnd,net_trading_volume,net_trading_value_bil_vnd
bvh,23/02/2024,"10,600",0.45,"13,000",0.55,"-2,400",-0.1
bvh,22/02/2024,"1,100",0.05,"21,200",0.89,"-20,100",-0.85
bvh,21/02/2024,"2,200",0.09,"16,900",0.72,"-14,700",-0.62
bvh,20/02/2024,"3,100",0.13,"30,600",1.31,"-27,500",-1.18
bvh,19/02/2024,"23,200",1.0,"30,400",1.31,"-7,200",-0.31
bvh,16/02/2024,"4,500",0.19,"13,900",0.59,"-9,400",-0.4
bvh,15/02/2024,"2,800",0.12,"18,600",0.77,"-15,800",-0.65
bvh,07/02/2024,"1,400",0.06,"1,800",0.07,-400,-0.02
bvh,06/02/2024,"1,100",0.05,"2,100",0.09,"-1,000",-0.04
bvh,05/02/2024,"9,100",0.38,"7,800",0.32,"1,300",0.05
bvh,02/02/2024,"1,700",0.07,"6,200",0.25,"-4,500",-0.18
bvh,01/02/2024,"7,100",0.29,"23,400",0.96,"-16,300",-0.67
bvh,31/01/2024,"2,700",0.11,"4,900",0.2,"-2,200",-0.09
bvh,30/01/2024,"5,400",0.22,600,0.02,"4,800",0.2
bvh,29/01/2024,"6,100",0.25,"1,100",0.04,"5,000",0.21
bvh,26/01/2024,"9,300",0.38,100,0.0,"9,200",0.38
bvh,25/01/2024,"2,000",0.08,"1,900",0.08,100,0.0
bvh,24/01/2024,"27,000",1.1,"6,400",0.26,"20,600",0.84
bvh,23/01/2024,500,0.02,"11,100",0.45,"-10,600",-0.43
bvh,22/01/2024,"6,400",0.26,"1,700",0.07,"4,700",0.19
bvh,19/01/2024,"1,900",0.08,"3,500",0.14,"-1,600",-0.07
bvh,18/01/2024,"3,400",0.14,"4,100",0.17,-700,-0.03
bvh,17/01/2024,"7,600",0.31,"17,800",0.73,"-10,200",-0.42
bvh,16/01/2024,"2,000",0.08,"1,700",0.07,300,0.01
bvh,15/01/2024,"2,500",0.1,"1,900",0.08,600,0.02
bvh,12/01/2024,"2,200",0.09,"14,000",0.58,"-11,800",-0.49
bvh,11/01/2024,"9,200",0.39,"23,200",0.97,"-14,000",-0.59
bvh,10/01/2024,0,0.0,"14,500",0.59,"-14,500",-0.59
bvh,09/01/2024,"8,400",0.34,"1,700",0.07,"6,700",0.27
bvh,08/01/2024,"10,400",0.42,"2,100",0.08,"8,300",0.33
bvh,05/01/2024,"2,700",0.11,"3,700",0.15,"-1,000",-0.04
bvh,04/01/2024,"14,200",0.57,"5,200",0.21,"9,000",0.36
bvh,03/01/2024,"1,600",0.06,"20,700",0.82,"-19,100",-0.76
bvh,02/01/2024,"1,300",0.05,"12,800",0.51,"-11,500",-0.46
